geoid,name,B16007001,"B16007001, Error",B16007002,"B16007002, Error",B16007003,"B16007003, Error",B16007004,"B16007004, Error",B16007005,"B16007005, Error",B16007006,"B16007006, Error",B16007007,"B16007007, Error",B16007008,"B16007008, Error",B16007009,"B16007009, Error",B16007010,"B16007010, Error",B16007011,"B16007011, Error",B16007012,"B16007012, Error",B16007013,"B16007013, Error",B16007014,"B16007014, Error",B16007015,"B16007015, Error",B16007016,"B16007016, Error",B16007017,"B16007017, Error",B16007018,"B16007018, Error",B16007019,"B16007019, Error"
14000US42101030200,"Census Tract 302, Philadelphia, PA",8385,1009,1828,427,1156,441,419,265,45,64,15,24,193,233,5743,777,3457,857,1522,545,563,426,174,184,27,45,814,218,469,166,227,169,81,76,0,15,37,62
14000US42101030501,"Census Tract 305.01, Philadelphia, PA",5541,658,1532,445,1009,339,320,377,74,61,0,15,129,152,3656,416,2438,516,559,294,397,266,177,86,85,86,353,86,202,84,38,40,74,54,39,26,0,15
14000US42101030502,"Census Tract 305.02, Philadelphia, PA",6663,535,1695,304,961,244,452,282,145,142,126,59,11,18,4374,400,2537,451,852,281,561,276,218,66,206,122,594,113,337,83,83,66,92,83,50,55,32,32
14000US42101030600,"Census Tract 306, Philadelphia, PA",6569,693,1213,410,937,389,177,114,48,77,51,30,0,15,4333,384,2613,367,981,294,199,180,540,303,0,15,1023,216,804,221,124,96,74,49,21,58,0,15
14000US42101030700,"Census Tract 307, Philadelphia, PA",3637,494,656,218,427,190,84,135,103,68,42,57,0,10,2581,318,1675,299,277,159,409,177,200,163,20,23,400,104,188,73,36,32,151,112,25,36,0,10
14000US42101030800,"Census Tract 308, Philadelphia, PA",5126,473,1070,261,471,160,57,48,149,132,46,68,347,364,3351,351,1558,307,647,164,329,187,500,117,317,216,705,127,487,91,0,15,33,31,113,101,72,83
14000US42101030900,"Census Tract 309, Philadelphia, PA",4213,519,945,237,575,143,89,82,138,93,129,193,14,37,2881,463,1352,248,815,539,421,232,261,167,32,45,387,95,227,108,81,80,35,29,44,45,0,10
14000US42101031000,"Census Tract 310, Philadelphia, PA",7140,838,1393,271,987,282,102,111,28,37,183,107,93,85,5137,711,2401,639,748,198,804,351,743,267,441,484,610,134,211,128,16,31,275,161,108,106,0,15
14000US42101031101,"Census Tract 311.01, Philadelphia, PA",4745,518,1242,255,796,222,211,141,101,78,58,67,76,121,3036,381,1750,343,668,204,330,168,119,80,169,131,467,106,293,103,45,46,97,70,14,21,18,29
14000US42101031102,"Census Tract 311.02, Philadelphia, PA",4022,432,927,264,576,223,198,175,42,68,68,58,43,71,2759,322,1202,316,784,383,396,280,249,138,128,105,336,63,223,82,71,55,22,31,20,25,0,10
14000US42101031200,"Census Tract 312, Philadelphia, PA",4584,559,854,259,586,251,66,64,74,96,49,32,79,76,2921,457,1515,334,842,355,159,113,287,118,118,82,809,342,558,304,128,103,106,103,0,15,17,26
14000US42101031300,"Census Tract 313, Philadelphia, PA",7137,558,1676,421,825,319,221,161,441,209,144,150,45,74,4605,436,1706,404,975,334,1021,300,730,186,173,140,856,274,371,129,141,127,100,88,176,121,68,111
14000US42101031401,"Census Tract 314.01, Philadelphia, PA",6283,726,1246,289,417,196,192,120,349,186,162,93,126,138,4642,569,1577,416,984,519,1014,353,874,240,193,137,395,79,255,97,17,26,80,73,43,52,0,15
